timestamp,session_id,source_ip,method,path,status,user_agent,category,repetitive_path_count
2026-05-28T10:00:04.224000,malicious_credential_stuffer_d683955e,10.0.5.71,GET,/admin/config,200,Scrapy/2.9.0 (+https://scrapy.org),distributed_crawler,1
2026-05-28T10:00:04.055000,malicious_credential_stuffer_009c5df2,10.0.0.48,GET,/api/items/3,200,Scrapy/2.9.0 (+https://scrapy.org),distributed_crawler,1
2026-05-28T10:00:05.555000,malicious_ddos_tool_9773e939,10.0.2.209,GET,/admin/config,200,Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/),distributed_crawler,4
2026-05-28T10:00:05.283000,malicious_credential_stuffer_fb334178,10.0.4.29,GET,/api/items/2,200,Scrapy/2.9.0 (+https://scrapy.org),distributed_crawler,2
2026-05-28T10:00:01.577000,malicious_credential_stuffer_11e9ced4,10.0.4.100,GET,/api/users/export,429,Scrapy/2.9.0 (+https://scrapy.org),distributed_crawler,0
2026-05-28T10:00:03.471000,malicious_credential_stuffer_2e844a93,10.0.2.84,GET,/api/users/export,200,Scrapy/2.9.0 (+https://scrapy.org),distributed_crawler,1
2026-05-28T10:00:04.398000,malicious_credential_stuffer_19f584db,10.0.4.164,GET,/api/items/2,200,Scrapy/2.9.0 (+https://scrapy.org),distributed_crawler,1
2026-05-28T09:42:10.654019,legit_861142cf,,GET,/api/items/1,200,Mozilla/5.0 (compatible; Bingbot/2.0; +http://www.bing.com/bingbot.htm),legit_crawler,0
2026-05-28T09:00:05.012000,malicious_scraper_96bafc05,10.0.5.127,GET,/api/products,200,Go-http-client/2.0,distributed_crawler,2
2026-05-28T09:00:02.538000,malicious_scraper_e8715a09,10.0.0.60,GET,/api/items/1,200,Go-http-client/2.0,distributed_crawler,0
2026-05-28T10:00:04.441000,malicious_ddos_tool_3f66ff9a,10.0.1.55,GET,/api/product,200,Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/),distributed_crawler,2
2026-05-28T09:00:08.455000,malicious_scraper_520bdb2c,10.0.0.158,GET,/api/product,200,Go-http-client/2.0,distributed_crawler,3
2026-05-28T09:00:05.690000,malicious_scraper_96bafc05,10.0.2.222,GET,/api/comments?page=2,200,Go-http-client/2.0,distributed_crawler,2
2026-05-28T08:06:12.434037,legit_11881cc1,,GET,/api/search?q=phone,200,Mozilla/5.0 (compatible; DuckDuckBot-Https/1.1; +https://duckduckgo.com/duckduckbot),legit_crawler,4
2026-05-28T10:00:06.746000,malicious_ddos_tool_90147e1f,10.0.4.84,GET,/admin/users,200,Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/),distributed_crawler,4
2026-05-28T09:00:08.506000,malicious_scraper_5db41985,10.0.2.4,GET,/api/users/export,500,Go-http-client/2.0,distributed_crawler,3
2026-05-28T09:00:06.433000,malicious_scraper_5db41985,10.0.1.177,GET,/api/payments,500,Go-http-client/2.0,distributed_crawler,1
2026-05-28T10:00:05.775000,malicious_ddos_tool_9fb7b132,10.0.1.107,GET,/api/payments,200,Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/),distributed_crawler,4
2026-05-28T10:00:02.635000,malicious_ddos_tool_9773e939,10.0.3.213,GET,/api/items/2,200,Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/),distributed_crawler,0
2026-05-28T10:00:04.071000,malicious_credential_stuffer_090c8ed3,10.0.0.253,GET,/api/comments?page=1,200,Scrapy/2.9.0 (+https://scrapy.org),distributed_crawler,1
