timestamp,session_id,source_ip,method,path,status,user_agent,category,repetitive_path_count
2026-05-27T10:18:42.570000,malicious_scraper_a0094f33,,GET,/api/users/export,200,CustomScraper/1.0,malicious_crawler,3
2026-05-27T13:06:50.021568,normal_73ef85f4,,GET,/api/comments,200,Mozilla/5.0 (X11; Linux x86_64) Firefox/118.0,normal,0
2026-05-27T12:12:26.106000,malicious_ddos_tool_9182ffa2,,GET,/api/products,200,Go-http-client/2.0,malicious_crawler,55
2026-05-27T11:55:17.959444,legit_fbec5d2d,,GET,/api/items/2,200,Mozilla/5.0 (compatible; Bingbot/2.0; +http://www.bing.com/bingbot.htm),legit_crawler,0
2026-05-27T13:07:55.574000,malicious_credential_stuffer_cedb5fbb,,POST,/api/login,401,python-requests/2.31.0,malicious_crawler,20
2026-05-27T13:50:40.462568,normal_6c2cc331,,GET,/api/logout,200,Mozilla/5.0 (iPhone; CPU iPhone OS 17_0 like Mac OS X) Mobile/15E148,normal,0
2026-05-27T12:20:15.294000,malicious_scraper_a1ee9d52,,GET,/api/items/3,200,Go-http-client/2.0,malicious_crawler,8
2026-05-27T11:28:46.623000,malicious_scraper_5ea62b64,,GET,/api/payments,200,python-requests/2.31.0,malicious_crawler,9
2026-05-27T14:42:50.582702,legit_1835f3e5,,GET,/api/search?q=books,200,Mozilla/5.0 (compatible; Bingbot/2.0; +http://www.bing.com/bingbot.htm),legit_crawler,1
2026-05-27T13:11:05.858000,malicious_scraper_2bb8106b,,GET,/api/products,200,Apache-HttpClient/4.5.14,malicious_crawler,9
2026-05-27T09:22:07.826000,malicious_ddos_tool_aeaa89d5,,GET,/api/login,200,CustomScraper/1.0,malicious_crawler,14
2026-05-27T11:28:31.119000,malicious_scraper_5ea62b64,,GET,/api/comments?page=2,200,python-requests/2.31.0,malicious_crawler,3
2026-05-27T09:12:30.958860,legit_e671c267,,GET,/api/search?q=laptop,200,Mozilla/5.0 (compatible; Bingbot/2.0; +http://www.bing.com/bingbot.htm),legit_crawler,0
2026-05-27T14:19:07.916000,malicious_credential_stuffer_7c88f3aa,,POST,/api/login,401,Mozilla/5.0 (Windows NT 10.0; Win64; x64) Chrome/120.0.0.0,malicious_crawler,14
2026-05-27T12:29:30.060000,malicious_ddos_tool_b4fcf3f0,,GET,/api/search?q=laptop,500,Go-http-client/2.0,malicious_crawler,18
